Month,simple-java-mail,clustered-object-pool,email-rfc2822-validator,generic-object-pool,java-socks-proxy-server,java-utils-mail-dkim,java-utils-mail-smime,outlook-message-parser,rtf-to-html,simplejavamail.org,smtp-connection-pool,total-active-project-weeks
2009-04,1,0,0,0,0,0,0,0,0,0,0,1
2009-05,0,0,0,0,0,0,0,0,0,0,0,0
2009-06,1,0,0,0,0,0,0,0,0,0,0,1
2009-07,0,0,0,0,0,0,0,0,0,0,0,0
2009-08,0,0,0,0,0,0,0,0,0,0,0,0
2009-09,0,0,0,0,0,0,0,0,0,0,0,0
2009-10,0,0,0,0,0,0,0,0,0,0,0,0
2009-11,0,0,0,0,0,0,0,0,0,0,0,0
2009-12,0,0,0,0,0,0,0,0,0,0,0,0
2010-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-02,0,0,0,0,0,0,0,0,0,0,0,0
2010-03,0,0,0,0,0,0,0,0,0,0,0,0
2010-04,0,0,0,0,0,0,0,0,0,0,0,0
2010-05,1,0,0,0,0,0,0,0,0,0,0,1
2010-06,0,0,0,0,0,0,0,0,0,0,0,0
2010-07,0,0,0,0,0,0,0,0,0,0,0,0
2010-08,0,0,0,0,0,0,0,0,0,0,0,0
2010-09,0,0,0,0,0,0,0,0,0,0,0,0
2010-10,0,0,0,0,0,0,0,0,0,0,0,0
2010-11,0,0,0,0,0,0,0,0,0,0,0,0
2010-12,0,0,0,0,0,0,0,0,0,0,0,0
2011-01,2,0,0,0,0,0,0,0,0,0,0,2
2011-02,0,0,0,0,0,0,0,0,0,0,0,0
2011-03,2,0,0,0,0,0,0,0,0,0,0,2
2011-04,0,0,0,0,0,0,0,0,0,0,0,0
2011-05,0,0,0,0,0,0,0,0,0,0,0,0
2011-06,0,0,0,0,0,0,0,0,0,0,0,0
2011-07,2,0,0,0,0,0,0,0,0,0,0,2
2011-08,2,0,0,0,0,0,0,0,0,0,0,2
2011-09,0,0,0,0,0,0,0,0,0,0,0,0
2011-10,0,0,0,0,0,0,0,0,0,0,0,0
2011-11,0,0,0,0,0,0,0,0,0,0,0,0
2011-12,0,0,0,0,0,0,0,0,0,0,0,0
2012-01,1,0,0,0,0,0,0,0,0,0,0,1
2012-02,0,0,0,0,0,0,0,0,0,0,0,0
2012-03,0,0,0,0,0,0,0,0,0,0,0,0
2012-04,0,0,0,0,0,0,0,0,0,0,0,0
2012-05,0,0,0,0,0,0,0,0,0,0,0,0
2012-06,2,0,0,0,0,0,0,0,0,0,0,2
2012-07,0,0,0,0,0,0,0,0,0,0,0,0
2012-08,1,0,0,0,0,0,0,0,0,0,0,1
2012-09,0,0,0,0,0,0,0,0,0,0,0,0
2012-10,0,0,0,0,0,0,0,0,0,0,0,0
2012-11,0,0,0,0,0,0,0,0,0,0,0,0
2012-12,0,0,0,0,0,0,0,0,0,0,0,0
2013-01,0,0,0,0,0,0,0,0,0,0,0,0
2013-02,0,0,0,0,0,0,0,0,0,0,0,0
2013-03,0,0,0,0,0,0,0,0,0,0,0,0
2013-04,0,0,0,0,0,0,0,0,0,0,0,0
2013-05,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0
